cityname,latitude,longitude,temperature_j1,precipitation_j1,weathercode_j1,temperature_j2,precipitation_j2,weathercode_j2,temperature_j3,precipitation_j3,weathercode_j3,temperature_j4,precipitation_j4,weathercode_j4,temperature_j5,precipitation_j5,weathercode_j5,temperature_j6,precipitation_j6,weathercode_j6,temperature_j7,precipitation_j7,weathercode_j7,mean_temp,sum_precipitation,top_weather_code
Bayonne,43.4945144,-1.4736657,19.3,0.0,3,21.5,0.0,3,13.5,0.0,3,13.3,0.0,1,13.7,0.0,3,16.0,0.0,0,5.1,0.0,1,14.628571428571428,0.0,3
Cassis,43.2140359,5.5396318,16.2,0.0,0,16.6,0.0,3,15.4,0.0,3,14.5,0.0,3,14.6,0.0,0,12.4,0.0,0,10.5,0.0,2,14.314285714285715,0.0,3
Biarritz,43.47114375,-1.552726590666314,18.4,0.0,3,20.7,0.0,3,13.7,0.0,2,12.9,0.0,1,13.2,0.0,3,15.5,0.0,0,4.7,0.0,1,14.157142857142858,0.0,3
Marseille,43.2961743,5.3699525,17.5,0.0,0,17.4,0.0,3,15.4,0.0,3,14.5,0.0,3,12.7,0.0,0,11.1,0.0,0,8.5,0.0,2,13.87142857142857,0.0,3
Aix+en+Provence,43.5298424,5.4474738,17.1,0.0,1,16.3,0.0,3,15.9,0.0,3,12.7,0.0,3,12.7,0.0,0,10.4,0.0,0,6.7,0.0,2,13.114285714285716,0.0,3
