,cityname,temperature_j1,precipitation_j1,weathercode_j1,temperature_j2,precipitation_j2,weathercode_j2,temperature_j3,precipitation_j3,weathercode_j3,temperature_j4,precipitation_j4,weathercode_j4,temperature_j5,precipitation_j5,weathercode_j5,temperature_j6,precipitation_j6,weathercode_j6,temperature_j7,precipitation_j7,weathercode_j7,coordinates
0,Mont+Saint+Michel,15.6,0.0,3,11.9,0.6,61,9.7,0.0,2,9.7,0.0,3,12.9,0.0,3,13.7,0.0,3,11.6,0.0,3,"('48.6359541', '-1.511459954959514')"
1,St+Malo,15.9,0.0,3,11.3,0.7,53,10.0,0.0,0,9.8,0.0,3,13.1,0.0,3,13.5,0.0,3,11.5,0.1,61,"('48.649518', '-2.0260409')"
2,Bayeux,16.2,0.0,3,12.0,0.3,61,9.6,0.0,1,9.6,0.0,3,13.1,0.0,3,12.7,0.0,3,11.4,0.1,61,"('49.2764624', '-0.7024738')"
3,Le+Havre,15.5,0.0,2,11.7,0.5,61,9.3,0.1,3,9.4,0.0,3,12.7,0.0,3,11.2,0.0,3,11.9,0.1,3,"('49.4938975', '0.1079732')"
4,Rouen,16.2,0.0,3,11.4,0.5,61,9.8,0.0,2,9.2,0.0,3,11.3,0.0,3,10.5,0.0,3,11.8,0.1,3,"('49.4404591', '1.0939658')"
5,Paris,15.7,0.0,3,12.2,0.3,61,10.5,0.0,3,9.3,0.0,1,10.1,0.0,3,11.3,0.0,3,11.1,0.0,3,"('48.8588897', '2.3200410217200766')"
6,Amiens,15.8,0.0,3,11.7,0.6,61,9.9,0.0,3,8.7,0.0,2,10.5,0.0,3,10.0,0.0,3,11.3,0.0,3,"('49.8941708', '2.2956951')"
7,Lille,15.4,0.1,80,12.0,0.1,61,9.7,0.0,3,7.6,0.0,3,10.0,0.1,3,9.6,0.0,3,8.6,0.1,3,"('50.6365654', '3.0635282')"
8,Strasbourg,16.5,0.0,2,15.0,0.0,0,12.8,0.0,3,8.3,0.0,1,5.4,0.0,3,9.6,0.0,3,9.2,0.0,3,"('48.584614', '7.7507127')"
9,Chateau+du+Haut+Koenigsbourg,14.5,0.0,2,12.6,0.0,2,10.6,0.0,3,6.0,0.0,2,3.9,0.0,3,7.4,0.1,3,7.2,0.0,3,"('48.249489800000006', '7.34429620253195')"
10,Colmar,16.6,0.0,2,15.2,0.0,3,14.0,0.0,3,8.0,0.0,2,6.1,0.0,3,10.5,0.0,3,8.3,0.0,3,"('48.0777517', '7.3579641')"
11,Eguisheim,19.0,0.0,2,15.2,0.0,3,14.3,0.0,3,8.1,0.0,2,6.5,0.0,3,10.5,0.0,3,8.3,0.0,3,"('48.0447968', '7.3079618')"
12,Besancon,16.5,0.0,3,16.8,0.0,0,12.0,0.6,61,9.2,0.0,2,5.4,0.0,3,8.5,0.5,61,8.2,0.0,0,"('47.2380222', '6.0243622')"
13,Dijon,12.6,0.0,3,13.4,0.0,1,10.7,0.6,61,8.4,0.0,2,3.0,0.0,3,9.6,0.0,3,7.2,0.0,1,"('47.3215806', '5.0414701')"
14,Annecy,13.0,0.0,3,13.4,0.0,1,12.3,0.0,3,8.5,0.0,3,6.9,0.0,3,9.8,0.0,2,2.1,0.0,45,"('45.8992348', '6.1288847')"
15,Grenoble,17.7,0.0,2,18.6,0.0,0,16.9,0.0,3,10.3,0.3,61,9.9,0.0,3,12.7,0.0,1,5.9,0.0,3,"('45.1875602', '5.7357819')"
16,Lyon,17.0,0.0,0,16.9,0.0,0,14.5,0.0,3,10.4,0.0,1,3.8,0.0,2,8.8,0.0,3,4.9,0.0,2,"('45.7578137', '4.8320114')"
17,Gorges+du+Verdon,12.3,0.0,1,11.5,0.0,3,12.4,0.0,3,9.2,0.0,3,10.1,0.0,0,9.3,0.0,0,2.8,0.0,45,"('43.7496562', '6.3285616')"
18,Bormes+les+Mimosas,14.1,0.0,3,14.4,0.0,3,14.4,0.0,3,14.3,0.0,3,14.3,0.0,1,11.6,0.0,0,7.8,0.0,45,"('43.1506968', '6.3419285')"
19,Cassis,16.1,0.0,3,16.5,0.0,3,15.4,0.0,3,14.5,0.0,3,14.6,0.0,0,12.4,0.0,0,10.5,0.0,2,"('43.2140359', '5.5396318')"
20,Marseille,17.2,0.0,3,17.0,0.0,3,15.4,0.0,3,14.5,0.0,3,12.7,0.0,0,11.1,0.0,0,8.5,0.0,2,"('43.2961743', '5.3699525')"
21,Aix+en+Provence,17.1,0.0,1,16.3,0.0,3,15.9,0.0,3,12.7,0.0,3,12.7,0.0,0,10.4,0.0,0,6.7,0.0,2,"('43.5298424', '5.4474738')"
22,Avignon,12.4,0.0,3,16.9,0.0,3,15.9,0.0,3,12.7,0.0,3,10.8,0.0,1,11.5,0.0,0,5.5,0.0,3,"('43.9492493', '4.8059012')"
23,Uzes,12.5,0.0,3,15.6,0.0,3,14.0,0.0,3,12.6,0.0,3,11.1,0.0,1,12.7,0.0,0,5.1,0.0,45,"('44.0121279', '4.4196718')"
24,Nimes,13.1,0.0,3,16.1,0.0,3,15.1,0.0,3,13.4,0.0,3,11.4,0.0,3,12.7,0.0,0,5.9,0.0,45,"('43.8374249', '4.3600687')"
25,Aigues+Mortes,13.7,0.0,3,15.9,0.0,3,15.4,0.0,3,14.2,0.0,3,11.3,0.0,1,11.6,0.0,0,6.8,0.0,45,"('43.5658225', '4.1912837')"
26,Saintes+Maries+de+la+mer,14.4,0.0,3,14.4,0.0,3,14.0,0.0,3,12.1,0.0,3,11.6,0.0,1,11.3,0.0,0,7.4,0.0,2,"('43.4522771', '4.4287172')"
27,Collioure,14.1,0.0,3,12.1,0.0,3,13.9,0.0,3,12.6,0.2,51,14.3,0.0,0,16.2,0.0,0,7.1,0.0,2,"('42.52505', '3.0831554')"
28,Carcassonne,13.0,0.0,3,13.6,0.0,3,13.1,0.0,3,11.0,0.1,51,11.0,0.0,0,13.1,0.0,0,5.5,0.0,2,"('43.2130358', '2.3491069')"
29,Ariege,15.3,0.0,3,13.6,0.0,0,6.6,0.0,3,5.4,0.0,3,8.2,0.0,0,9.0,0.0,1,3.1,0.0,1,"('42.9455368', '1.4065544156065486')"
30,Toulouse,15.6,0.0,1,16.2,0.0,0,12.3,0.0,3,11.5,0.0,2,4.2,0.0,45,10.2,0.0,2,6.1,0.0,45,"('43.6044622', '1.4442469')"
31,Montauban,15.5,0.0,2,16.4,0.0,0,12.4,0.0,3,11.3,0.0,1,3.7,0.0,45,9.8,0.0,2,4.4,0.0,45,"('44.0175835', '1.3549991')"
32,Biarritz,18.2,0.0,0,20.8,0.0,3,13.7,0.1,51,12.9,0.0,1,13.2,0.0,3,15.5,0.0,0,4.7,0.0,1,"('43.471143749999996', '-1.552726590666314')"
33,Bayonne,19.1,0.0,0,21.5,0.0,3,13.5,0.1,51,13.3,0.0,1,13.7,0.0,3,16.0,0.0,0,5.1,0.0,1,"('43.4945144', '-1.4736657')"
34,La+Rochelle,15.0,0.0,3,13.8,0.0,3,11.6,0.2,51,7.7,0.0,3,12.0,0.0,3,12.4,0.0,61,11.5,0.0,3,"('46.1591126', '-1.1520434')"
